2019-10-15 08:44:54,392 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@464bee09: startup date [Tue Oct 15 08:44:54 CEST 2019]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2019-10-15 08:44:55,359 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\EFREI\M1\S7\INFORMATION SYSTEM CLOUD\apache-activemq-5.15.10-bin\apache-activemq-5.15.10\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2019-10-15 08:44:56,692 | INFO  | PListStore:[D:\EFREI\M1\S7\INFORMATION SYSTEM CLOUD\apache-activemq-5.15.10-bin\apache-activemq-5.15.10\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2019-10-15 08:44:56,836 | INFO  | Apache ActiveMQ 5.15.10 (localhost, ID:ASUS-6105-54611-1571121896702-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2019-10-15 08:44:56,914 | INFO  | Listening for connections at: tcp://ASUS-6105:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-10-15 08:44:56,916 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2019-10-15 08:44:56,921 | INFO  | Listening for connections at: amqp://ASUS-6105:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-10-15 08:44:56,922 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2019-10-15 08:44:56,925 | INFO  | Listening for connections at: stomp://ASUS-6105:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-10-15 08:44:56,926 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2019-10-15 08:44:56,932 | INFO  | Listening for connections at: mqtt://ASUS-6105:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-10-15 08:44:56,933 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2019-10-15 08:44:56,938 | INFO  | Starting Jetty server | org.apache.activemq.transport.WebTransportServerSupport | main
2019-10-15 08:44:57,012 | INFO  | Creating Jetty connector | org.apache.activemq.transport.WebTransportServerSupport | main
2019-10-15 08:44:57,098 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@4716be8b{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2019-10-15 08:44:57,174 | INFO  | Listening for connections at ws://ASUS-6105:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2019-10-15 08:44:57,175 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2019-10-15 08:44:57,178 | INFO  | Apache ActiveMQ 5.15.10 (localhost, ID:ASUS-6105-54611-1571121896702-0:1) started | org.apache.activemq.broker.BrokerService | main
2019-10-15 08:44:57,179 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2019-10-15 08:44:58,140 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
2019-10-15 08:44:58,141 | INFO  | ActiveMQ Jolokia REST API available at http://0.0.0.0:8161/api/jolokia/ | org.apache.activemq.web.WebConsoleStarter | main
2019-10-15 10:32:24,962 | WARN  | Transport Connection to: tcp://127.0.0.1:54919 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:54919@61616
2019-10-15 10:32:28,784 | WARN  | Transport Connection to: tcp://127.0.0.1:54910 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:54910@61616
2019-10-15 11:18:04,412 | WARN  | Transport Connection to: tcp://127.0.0.1:55106 failed: java.net.SocketException: Connection reset | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55106@61616
